Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,512,512,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,1.173282,51.675941,0.054374,
MMA CUDA,68.823644,0.753733,0.191022,False,0.000000,0.000000,
MMA CUDA Shared,0.705060,0.623017,0.194406,False,0.498043,0.019466,
MMA Tensor,9.290112,0.268321,0.195324,False,0.042410,0.033466,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.273705,44.073292,0.048898,0.476953,0.648128,0.175197,0.524834,0.502048,0.184518,7.576883,0.118400,0.164518,-1.000000,-1.000000,-1.000000,
0.258314,43.475327,0.051280,0.463563,0.648480,0.169823,0.559758,0.497856,0.175766,7.680788,0.261120,0.173648,-1.000000,-1.000000,-1.000000,
0.250979,43.375786,0.049916,0.452029,0.651648,0.171348,0.512279,0.507456,0.211450,7.857596,0.124512,0.166605,-1.000000,-1.000000,-1.000000,
0.247291,47.677090,0.060878,0.452201,0.649248,0.169508,0.584998,0.500480,0.172383,7.755549,0.117984,0.178575,-1.000000,-1.000000,-1.000000,
0.281195,43.588680,0.047050,0.450257,0.645280,0.170231,0.527958,0.515328,0.176272,7.956929,0.124448,0.166987,-1.000000,-1.000000,-1.000000,
0.238085,43.177296,0.047504,0.456230,0.652128,0.186087,0.489867,0.498944,0.174408,7.698356,0.116832,0.169685,-1.000000,-1.000000,-1.000000,
0.228244,43.371651,0.052887,0.460767,0.645568,0.172418,0.461427,0.499808,0.174452,7.945852,0.125312,0.167523,-1.000000,-1.000000,-1.000000,
0.222364,43.674889,0.046999,0.454452,0.643936,0.179846,0.448983,0.499072,0.173666,8.013999,0.116736,0.171034,-1.000000,-1.000000,-1.000000,
0.235452,44.919285,0.049455,0.475168,0.648128,0.169298,0.447753,0.499840,0.170799,7.938348,0.123648,0.169712,-1.000000,-1.000000,-1.000000,
0.282519,43.542442,0.045653,0.479641,0.652352,0.171450,0.445963,0.497120,0.170517,7.621437,0.427104,0.186697,-1.000000,-1.000000,-1.000000,
0.253959,43.441998,0.051251,0.455701,0.652352,0.169676,0.449484,0.673696,0.185845,7.733862,0.123872,0.167721,-1.000000,-1.000000,-1.000000,
0.247393,53.332375,0.057117,0.461085,0.651840,0.176258,0.490611,0.518560,0.172087,7.963990,0.280544,0.199720,-1.000000,-1.000000,-1.000000,
0.309847,44.935238,0.050200,0.554007,0.649472,0.179796,0.447095,0.502400,0.180834,7.824415,0.122464,0.197537,-1.000000,-1.000000,-1.000000,
0.291465,44.881477,0.050386,0.569701,0.652192,0.188470,0.471684,0.504320,0.168682,7.746544,0.191360,0.178696,-1.000000,-1.000000,-1.000000,
0.282847,44.696819,0.054879,0.600939,0.646048,0.194786,0.494084,0.500640,0.201786,8.012844,0.128448,0.169991,-1.000000,-1.000000,-1.000000,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
1.101410,46.100468,0.057538,0.815462,0.694144,0.202032,0.626625,0.811104,0.184495,8.048964,0.171680,0.175830,-1.000000,-1.000000,-1.000000,
1.366010,46.853767,0.058755,0.654607,0.647360,0.194005,0.646340,0.501248,0.190918,7.827355,0.179552,0.169255,-1.000000,-1.000000,-1.000000,
1.025590,45.157326,0.051945,0.595197,0.649184,0.189732,0.561448,0.520832,0.180409,7.851060,0.188640,0.176589,-1.000000,-1.000000,-1.000000,
0.305935,44.081493,0.049126,0.520501,0.653248,0.190834,0.525573,0.502144,0.175742,7.785805,0.176288,0.169935,-1.000000,-1.000000,-1.000000,
0.285396,44.400043,0.055596,0.502837,0.650880,0.187711,0.499115,0.502848,0.181573,7.760695,0.215936,0.168832,-1.000000,-1.000000,-1.000000,
0.285197,44.386833,0.049190,0.502898,0.651776,0.190744,0.495091,0.502912,0.183414,7.807049,0.178816,0.168354,-1.000000,-1.000000,-1.000000,
0.269088,44.570507,0.050584,0.506417,0.651968,0.170603,0.490057,0.502816,0.172242,7.836704,0.174240,0.167925,-1.000000,-1.000000,-1.000000,
0.285066,45.567196,0.054569,0.497532,0.848608,0.170776,0.486837,0.503648,0.171658,7.748035,0.173472,0.168876,-1.000000,-1.000000,-1.000000,
0.290699,44.141998,0.046822,0.637895,0.749536,0.173913,0.486051,0.502720,0.171936,7.647241,0.174848,0.182939,-1.000000,-1.000000,-1.000000,
0.266833,43.313244,0.053367,0.509250,0.646496,0.184122,0.529195,0.539648,0.174939,8.016425,0.173472,0.168301,-1.000000,-1.000000,-1.000000,
0.245744,43.425728,0.062003,0.707763,0.685856,0.178915,0.542592,0.561856,0.170276,17.862293,0.176864,0.173893,-1.000000,-1.000000,-1.000000,
0.245060,43.659637,0.049689,0.549270,0.652896,0.175878,0.507134,0.504160,0.195345,7.947845,0.109952,0.217888,-1.000000,-1.000000,-1.000000,
0.251306,47.850983,0.057929,0.547350,0.652544,0.174588,0.525781,0.497152,0.175614,7.648134,0.114272,0.167191,-1.000000,-1.000000,-1.000000,
0.306004,45.387314,0.055520,0.509684,0.650496,0.173283,0.553625,0.701280,0.171440,8.104818,0.104864,0.176087,-1.000000,-1.000000,-1.000000,
0.300282,44.683720,0.051823,0.499569,0.651424,0.169933,0.519363,0.503520,0.173129,7.664693,0.108832,0.166710,-1.000000,-1.000000,-1.000000,
0.283448,44.561691,0.054672,0.509400,0.650880,0.181408,0.499749,0.502528,0.174140,7.764304,0.111104,0.178284,-1.000000,-1.000000,-1.000000,
0.293195,43.366501,0.045510,0.501301,0.652000,0.171659,0.493169,0.504896,0.170233,7.684066,0.102848,0.168266,-1.000000,-1.000000,-1.000000,
0.263900,43.178104,0.053560,0.491979,0.889792,0.170934,0.499055,0.504224,0.172315,7.915513,0.111968,0.184195,-1.000000,-1.000000,-1.000000,
0.245403,43.207321,0.054914,0.592475,0.718560,0.173259,0.488990,0.502592,0.172941,7.679604,0.111776,0.166593,-1.000000,-1.000000,-1.000000,
0.232211,43.484631,0.047656,0.637226,0.679392,0.181695,0.487321,0.502720,0.170963,7.865710,0.222272,0.167045,-1.000000,-1.000000,-1.000000,
0.225929,48.356827,0.058773,0.561613,0.678368,0.173365,0.485169,0.786432,0.170737,7.735780,0.108832,0.166746,-1.000000,-1.000000,-1.000000,
0.282444,43.581184,0.044909,0.550358,0.645600,0.177274,0.516077,0.618720,0.170817,7.753183,0.110400,0.214955,-1.000000,-1.000000,-1.000000,
0.241483,43.204887,0.049835,0.518836,0.651584,0.172825,0.512844,0.518304,0.185092,7.657065,0.111392,0.185651,-1.000000,-1.000000,-1.000000,
0.224955,44.145363,0.047020,0.493714,0.652832,0.172626,0.563833,0.795968,0.171015,7.902232,0.104128,0.191396,-1.000000,-1.000000,-1.000000,
0.244297,44.002571,0.048014,0.509828,0.651648,0.186876,0.523111,0.502336,0.171710,7.728634,0.101984,0.166820,-1.000000,-1.000000,-1.000000,
0.266096,44.755573,0.051191,0.509541,0.649920,0.171350,0.501697,0.504224,0.173173,7.805370,0.110880,0.177707,-1.000000,-1.000000,-1.000000,
0.289011,43.684799,0.045692,0.513420,0.652768,0.169069,0.502150,0.502816,0.171092,7.633879,0.110176,0.178513,-1.000000,-1.000000,-1.000000,
0.263210,43.499084,0.054987,0.500448,0.652736,0.170910,0.486735,0.502880,0.170783,7.815907,0.107200,0.168307,-1.000000,-1.000000,-1.000000,
0.255830,43.325756,0.052908,0.603272,0.793984,0.180307,0.488020,0.502848,0.170681,7.846640,0.108544,0.166708,-1.000000,-1.000000,-1.000000,
0.238439,43.175522,0.048409,0.550661,0.674336,0.209371,0.486518,0.503488,0.170450,7.836512,0.105792,0.171115,-1.000000,-1.000000,-1.000000,
0.228291,43.773678,0.049411,0.601556,0.645568,0.213052,0.486780,0.502624,0.170991,7.832653,0.103328,0.173662,-1.000000,-1.000000,-1.000000,
0.248429,45.904079,0.056067,0.561423,0.681344,0.175200,0.487006,0.503488,0.171376,7.706362,0.107008,0.179151,-1.000000,-1.000000,-1.000000,
0.291222,45.990505,0.052771,0.535586,0.652032,0.175024,0.533043,0.627520,0.171793,7.810719,0.107424,0.168973,-1.000000,-1.000000,-1.000000,
0.297448,43.920395,0.048937,0.500582,0.651168,0.170378,0.496464,0.520672,0.173435,7.914312,0.107072,0.168381,-1.000000,-1.000000,-1.000000,
0.280881,43.903728,0.052733,0.489273,0.651424,0.174172,0.522355,0.498624,0.182791,7.834304,0.109568,0.171923,-1.000000,-1.000000,-1.000000,
0.268863,51.146255,0.060454,0.500659,0.650592,0.172666,0.506269,0.519648,0.170537,7.762766,0.105792,0.209796,-1.000000,-1.000000,-1.000000,
0.317358,46.600731,0.054676,0.489798,0.652288,0.171845,0.502242,0.504896,0.171334,7.767610,0.106368,0.179564,-1.000000,-1.000000,-1.000000,
0.316946,46.913174,0.061721,0.488962,0.650208,0.190254,0.490921,0.516416,0.177380,7.677974,0.105248,0.166529,-1.000000,-1.000000,-1.000000,
0.313017,45.276779,0.052482,0.509667,0.719680,0.178340,0.490965,0.502880,0.174661,7.670611,0.103968,0.168150,-1.000000,-1.000000,-1.000000,
0.289880,45.515141,0.053229,0.498993,0.674944,0.181292,0.499176,0.503680,0.172139,7.678574,0.106848,0.165053,-1.000000,-1.000000,-1.000000,
0.309768,44.430725,0.050058,0.576771,0.647136,0.179315,0.490901,0.504576,0.176198,7.749530,0.102880,0.169085,-1.000000,-1.000000,-1.000000,
0.286034,43.797604,0.050524,0.629891,0.651072,0.179853,0.489778,0.502752,0.170676,7.739439,0.315808,0.172652,-1.000000,-1.000000,-1.000000,
0.255367,43.435593,0.048069,0.556617,0.675872,0.173741,0.490563,0.502496,0.174077,7.838740,0.105024,0.169540,-1.000000,-1.000000,-1.000000,
0.245271,44.030155,0.052112,0.531682,0.651360,0.175294,0.503349,0.671360,0.169909,7.880515,0.101952,0.168717,-1.000000,-1.000000,-1.000000,
0.251631,46.230614,0.063100,0.494075,0.650048,0.214436,0.527891,0.521728,0.174819,7.808652,0.103264,0.178329,-1.000000,-1.000000,-1.000000,
0.290074,47.586781,0.055599,0.545677,0.653024,0.173982,0.494210,0.496416,0.183806,7.715354,0.120704,0.168008,-1.000000,-1.000000,-1.000000,
0.303973,46.465492,0.054032,0.550014,0.651360,0.176179,0.524924,0.782112,0.171601,7.808473,0.101792,0.171298,-1.000000,-1.000000,-1.000000,
0.311832,45.009590,0.051810,0.531385,0.649920,0.175260,0.504142,0.502752,0.174286,7.729099,0.109376,0.168283,-1.000000,-1.000000,-1.000000,
0.301617,44.345287,0.050000,0.527088,0.795872,0.172449,0.508427,0.502464,0.172567,7.757029,0.102208,0.173015,-1.000000,-1.000000,-1.000000,
0.286748,44.702728,0.048946,0.500160,0.673472,0.176513,0.494056,0.503040,0.170532,7.668632,0.108352,0.166754,-1.000000,-1.000000,-1.000000,
