Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,512,512,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,1.382487,18.392431,1.020625,
MMA CUDA,44.323679,0.015931,1.172366,False,0.000000,0.000000,
MMA CUDA Shared,0.797958,0.007469,1.730867,False,0.000000,0.000000,
MMA Tensor,2.912816,0.007035,1.172926,False,0.042410,0.033466,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.245933,6.163587,0.044599,0.451315,0.002041,0.898844,0.459017,0.004450,0.865835,2.518825,0.002598,0.360895,
0.240104,6.285021,0.049181,0.452089,0.002757,0.901874,0.448956,0.002631,0.869137,2.553165,0.002391,0.358528,
0.237605,6.129754,0.044966,0.447681,0.002061,0.902287,0.447687,0.002359,0.856942,2.516285,0.002554,0.357269,
0.235913,6.099152,0.044823,0.469816,0.004181,0.906571,0.483371,0.002698,0.868737,2.539708,0.002311,0.357235,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
1.043833,6.166962,0.045254,0.730628,0.018809,0.731312,0.679286,0.022673,0.667483,2.654285,0.004300,0.362646,
0.820105,5.955110,0.044827,0.574147,0.005834,0.738294,0.574413,0.004229,0.687437,2.581521,0.004034,0.517115,
0.809358,6.174646,0.048281,1.022692,0.006114,0.746482,0.525742,0.004076,0.686426,2.599919,0.004542,0.357915,
0.249541,5.926670,0.045768,0.596088,0.004672,0.728294,0.493304,0.003970,0.682008,2.711839,0.006316,0.614992,
0.250258,5.913313,0.052033,0.557006,0.004450,0.735881,0.483698,0.003840,0.681580,2.727999,0.008571,0.349729,
0.232834,7.279174,0.051448,0.521007,0.004698,0.733325,0.491802,0.004503,0.829638,2.619860,0.004119,0.354486,
0.261121,6.088286,0.046150,0.510542,0.004818,0.733227,0.493588,0.004093,0.678893,2.591072,0.003821,0.358047,
0.243735,6.076406,0.052888,0.517195,0.004930,0.714218,0.489712,0.004299,0.671262,2.578069,0.004210,0.355517,
0.251936,5.903792,0.046031,0.688105,0.007409,0.742313,0.497217,0.003787,0.673618,2.642264,0.004361,0.404111,
0.241274,5.638210,0.044501,0.545083,0.004922,0.712276,0.532075,0.004054,0.699108,2.724061,0.008787,0.362952,
0.228668,6.215447,0.048736,0.491790,0.003879,0.706498,0.614779,0.009623,0.670528,2.630715,0.004357,0.382194,
0.235966,6.098336,0.045346,0.525748,0.003713,0.723857,0.544633,0.004254,0.688709,2.573095,0.004282,0.361029,
0.239096,5.863007,0.045426,0.617033,0.008155,0.715750,0.512740,0.003692,0.676501,2.584552,0.004608,0.359308,
0.236213,5.925361,0.046872,0.561046,0.006360,0.721128,0.489960,0.004025,0.682095,2.670869,0.006532,0.398372,
0.237510,5.651416,0.045484,0.565583,0.004977,0.887496,0.488596,0.003695,0.685617,2.796757,0.008759,0.355379,
0.232009,5.890223,0.050978,0.521579,0.004252,0.710311,0.484634,0.003671,0.684787,2.699432,0.006550,0.368774,
0.235740,5.954027,0.044799,0.492061,0.003796,0.714421,0.482183,0.004124,0.679316,2.608529,0.003932,0.359256,
0.232305,5.714700,0.044609,0.505411,0.003807,0.715018,0.483710,0.007278,0.676346,2.604034,0.003990,0.407215,
0.228730,5.998985,0.046956,0.485482,0.003751,0.716629,0.521471,0.005746,0.714944,2.568073,0.003958,0.359503,
0.235587,6.456472,0.046694,0.518875,0.005060,0.711999,0.498107,0.004132,0.670612,2.767278,0.009325,0.345452,
0.247314,7.028897,0.046087,0.499460,0.004496,0.706952,0.493081,0.003814,0.676090,2.630147,0.006197,0.365057,
0.248802,8.668984,0.055493,0.487829,0.003761,0.702972,0.485450,0.003852,0.672248,2.615541,0.004385,0.353291,
0.282644,6.385065,0.044239,0.487308,0.003660,0.713806,0.503494,0.003829,0.704399,2.568471,0.004063,0.352289,
0.246460,6.159546,0.049055,0.598708,0.008152,0.882617,0.640284,0.011296,0.691621,2.580050,0.005258,0.358648,
0.238516,5.629696,0.047085,0.586895,0.006328,0.717355,0.537399,0.005461,0.675706,2.594947,0.003685,0.410449,
0.231533,5.825468,0.051240,0.547279,0.004165,0.718516,0.523678,0.003867,0.683714,2.714298,0.010375,0.351937,
0.233557,5.911644,0.044815,0.513998,0.003742,0.715348,0.493099,0.004059,0.682328,2.671475,0.006640,0.527565,
0.234349,5.672494,0.044518,0.489102,0.003660,0.704686,0.485480,0.004090,0.690953,2.624996,0.004287,0.352417,
0.231403,5.987576,0.048723,0.483609,0.003779,0.713370,0.495459,0.003907,0.687786,2.674493,0.003948,0.371419,
0.232235,5.900007,0.044381,0.485426,0.003957,0.712921,0.501140,0.004845,0.678489,2.600331,0.003768,0.460561,
0.234069,6.144928,0.045073,0.485311,0.003627,0.705293,0.499216,0.004491,0.688378,2.686658,0.009501,0.349763,
0.235969,5.881868,0.044271,0.499099,0.004293,0.766630,0.516812,0.004490,0.902434,2.641725,0.006653,0.358305,
0.239104,5.728187,0.044071,0.504876,0.003869,0.710684,0.503140,0.003922,0.672869,2.578287,0.003484,0.354227,
0.230881,5.816666,0.050641,0.493966,0.003890,0.712750,0.495378,0.003734,0.670938,2.610785,0.004040,0.360868,
0.231112,5.950780,0.045920,0.487429,0.003608,0.703950,0.502271,0.003809,0.701857,2.580804,0.003622,0.358220,
0.232518,5.719361,0.044621,0.506488,0.004058,0.717431,0.638946,0.007073,0.677974,2.792705,0.009632,0.345677,
0.230577,7.457594,0.054704,0.577204,0.007820,0.711156,0.558357,0.006353,0.871945,2.817950,0.008283,0.616054,
0.268087,5.828034,0.044545,0.612338,0.004750,0.738775,0.520402,0.003880,0.688387,2.648221,0.005470,0.353537,
0.245961,5.867907,0.052753,0.518311,0.004044,0.716009,0.511798,0.004166,0.683655,2.698796,0.005339,0.349464,
0.242168,5.971901,0.047292,0.502136,0.003762,0.720300,0.484255,0.003949,0.682555,2.568852,0.003619,0.349122,
0.236152,5.653936,0.044450,0.484897,0.003626,0.730115,0.497654,0.003658,0.685403,2.736055,0.008946,0.355679,
0.227615,5.827625,0.051459,0.517916,0.004617,0.715046,0.571956,0.006665,0.706381,2.707763,0.006029,0.355755,
0.232727,12.250831,0.059940,0.494300,0.003714,0.699679,0.726763,0.008988,0.764769,2.584649,0.005445,0.362666,
0.308432,38.968239,0.075400,0.489250,0.003975,0.733870,0.624642,0.006486,0.714705,2.583440,0.003597,0.445532,
0.314456,7.287816,0.046944,0.551973,0.013495,0.712047,0.648093,0.006332,0.678493,2.576065,0.004436,0.345588,
0.285957,6.423299,0.056087,0.496689,0.003736,0.710118,0.548830,0.005621,0.687002,2.734131,0.009317,0.396929,
0.248460,37.212601,0.066071,0.509520,0.003652,0.704957,0.645592,0.005724,1.036605,2.811119,0.010419,0.352080,
0.280686,25.745985,0.058209,0.534372,0.004665,0.721615,0.636208,0.008820,0.686652,2.808509,0.008174,0.348116,
0.296489,7.449925,0.048882,0.717309,0.006108,0.720347,0.556735,0.005315,0.676719,2.640678,0.005842,0.375986,
0.270987,6.350840,0.050858,0.598808,0.004964,0.758349,0.529779,0.003788,0.684089,2.603782,0.005114,0.347252,
