MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000331,0.018280,0.000165,0.020017,0.001747,0.015143,0.019746,0.001879,0.015126,0.022506,0.000271,0.007512,0.022296,0.000265,0.006816,
0.000321,0.018094,0.000162,0.019840,0.001894,0.015379,0.020179,0.001699,0.015963,0.022266,0.000246,0.006913,0.021169,0.000252,0.007246,
0.000316,0.018133,0.000158,0.019583,0.001724,0.015188,0.020778,0.001732,0.015316,0.023793,0.000264,0.006831,0.021506,0.000268,0.006878,
0.000374,0.017972,0.000152,0.019868,0.001743,0.015210,0.019758,0.001701,0.015285,0.021603,0.000247,0.006867,0.021679,0.000268,0.006835,
0.000373,0.017809,0.000175,0.019394,0.001748,0.015750,0.019779,0.001890,0.015171,0.021751,0.000261,0.007003,0.021623,0.000253,0.006880,
0.000396,0.018108,0.000169,0.020137,0.001871,0.016023,0.019413,0.001806,0.015626,0.022512,0.000271,0.007314,0.021585,0.000269,0.006811,
0.000370,0.018242,0.000161,0.019776,0.001712,0.016042,0.019487,0.001725,0.015583,0.022189,0.000271,0.006868,0.023407,0.000270,0.007021,
0.000325,0.017871,0.000163,0.020170,0.001717,0.015845,0.019423,0.001747,0.015609,0.024061,0.000248,0.006839,0.021467,0.000266,0.006891,
0.000321,0.018012,0.000183,0.019709,0.001747,0.015437,0.020032,0.001692,0.015121,0.021367,0.000267,0.007044,0.021147,0.000270,0.007333,
0.000416,0.018253,0.000270,0.019739,0.001743,0.015792,0.020305,0.001689,0.015752,0.023252,0.000251,0.006792,0.021717,0.000252,0.006953,
0.000365,0.017999,0.000160,0.019621,0.001753,0.016446,0.019347,0.001676,0.014723,0.021843,0.000266,0.006911,0.020728,0.000269,0.006839,

MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.006979,0.018607,0.000203,0.086914,0.004495,0.017531,0.071750,0.003282,0.016108,0.072577,0.000472,0.008548,0.072865,0.000573,0.008254,
0.003559,0.017831,0.000174,0.077169,0.003511,0.016150,0.072229,0.003252,0.016728,0.070854,0.000400,0.008085,0.069722,0.000406,0.008903,
0.003247,0.017870,0.000185,0.073920,0.003327,0.016630,0.072613,0.003136,0.016244,0.067634,0.000412,0.008549,0.067672,0.000410,0.008229,
