Performing comparisons between CPU Cuda and Tensor implementation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Matrixes size,32,32,,,,,,,,,,,,,,,
Single run computation test,,,,,,,,,,,,,,,,,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),,,,,,,,,,,
MMA CPU,0.004177,0.411205,0.000354,,,,,,,,,,,,,,
MMA Tensor,68.240242,0.015621,0.010845,False,1,0,,,,,,,,,,,
MMA CUDA,0.080122,0.030367,0.008654,True,0,0,,,,,,,,,,,
MMA CUDA Shared,0.071819,0.017295,0.007991,False,0,0,,,,,,,,,,,
MMA CUDA Shared Half,0.081242,0.016787,0.008548,False,0.00005,0.000039,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Multi run computation  test, execution count :150,,,,,,,,,,,,,,,,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing
0.000409,0.020589,0.000204,0.043313,0.00272,0.012864,0.029277,0.013184,0.012606,0.03169,0.011232,0.011954,0.047697,0.010304,0.01251,-1,-1,-1
0.000315,0.020669,0.000172,0.044463,0.00288,0.012871,0.028282,0.012512,0.012048,0.031452,0.012704,0.012205,0.044198,0.011072,0.012064,-1,-1,-1
0.000406,0.021044,0.000165,0.044062,0.004096,0.01277,0.027992,0.012288,0.01259,0.031609,0.011008,0.012496,0.043359,0.011008,0.012201,-1,-1,-1
0.000365,0.020659,0.000185,0.048244,0.002976,0.013098,0.027937,0.01248,0.01218,0.06355,0.012288,0.012737,0.045867,0.01024,0.012336,-1,-1,-1
0.00044,0.020785,0.000166,0.044202,0.003392,0.012618,0.028093,0.012288,0.012211,0.031766,0.01024,0.012792,0.042869,0.010624,0.012177,-1,-1,-1
0.000403,0.020574,0.000195,0.044457,0.003552,0.012909,0.028375,0.01232,0.012962,0.031542,0.01024,0.012461,0.041749,0.011424,0.012346,-1,-1,-1
0.000316,0.020605,0.000188,0.048596,0.002912,0.01299,0.028906,0.012288,0.012014,0.034412,0.011552,0.013078,0.043655,0.011744,0.012162,-1,-1,-1
0.000421,0.02057,0.000165,0.044363,0.003776,0.012751,0.029037,0.012288,0.012409,0.031946,0.01152,0.012455,0.046032,0.011008,0.012629,-1,-1,-1
0.000412,0.020552,0.000209,0.045088,0.003904,0.012608,0.029055,0.012864,0.012234,0.031667,0.011648,0.012011,0.042736,0.011008,0.012407,-1,-1,-1
0.000317,0.020528,0.000176,0.049324,0.002784,0.012899,0.028913,0.0128,0.012029,0.031485,0.010976,0.012532,0.042849,0.010848,0.012311,-1,-1,-1
0.000429,0.020674,0.000158,0.044177,0.003264,0.012961,0.028943,0.012768,0.012105,0.032012,0.011968,0.012227,0.050961,0.010944,0.012493,-1,-1,-1
0.000364,0.020549,0.000167,0.043527,0.0024,0.012745,0.027866,0.012288,0.012068,0.031583,0.011904,0.012621,0.042917,0.010528,0.012993,-1,-1,-1
0.000363,0.020372,0.000173,0.044015,0.00256,0.012887,0.027776,0.012288,0.01245,0.031678,0.01024,0.012374,0.044088,0.010464,0.012185,-1,-1,-1
0.000371,0.020655,0.000178,0.047551,0.00384,0.013556,0.028617,0.013312,0.012038,0.032369,0.011648,0.012358,0.046112,0.01024,0.012432,-1,-1,-1
0.000371,0.020734,0.000173,0.043972,0.00272,0.012739,0.027848,0.012992,0.011968,0.031176,0.011616,0.012199,0.041846,0.010816,0.01234,-1,-1,-1
0.000421,0.020534,0.000183,0.04509,0.004,0.01268,0.028619,0.012288,0.012453,0.032291,0.012288,0.013144,0.042463,0.01024,0.012212,-1,-1,-1
0.000429,0.0209,0.000205,0.04856,0.004,0.01301,0.029068,0.01376,0.011869,0.031899,0.01136,0.012606,0.045332,0.011392,0.012582,-1,-1,-1
0.000453,0.020439,0.000171,0.04408,0.003072,0.012857,0.028236,0.012448,0.013541,0.031745,0.010496,0.012494,0.042547,0.01024,0.012152,-1,-1,-1
0.000321,0.020771,0.000182,0.044486,0.00368,0.01282,0.029941,0.014528,0.012588,0.03104,0.01216,0.012448,0.042615,0.010272,0.012348,-1,-1,-1
0.000391,0.020504,0.000173,0.063874,0.003424,0.013179,0.028775,0.01232,0.012261,0.032015,0.0104,0.013125,0.04296,0.01024,0.012565,-1,-1,-1
0.000464,0.020609,0.000233,0.044657,0.00304,0.013003,0.028306,0.014176,0.013352,0.031848,0.012288,0.01237,0.045651,0.01072,0.013014,-1,-1,-1
0.000354,0.03216,0.000138,0.045233,0.004064,0.012463,0.028419,0.012352,0.012066,0.031442,0.01168,0.012052,0.043761,0.011968,0.012329,-1,-1,-1
0.000297,0.017821,0.000188,0.049009,0.002752,0.012818,0.028148,0.012896,0.012381,0.031293,0.012288,0.012497,0.042897,0.012288,0.012261,-1,-1,-1
0.000295,0.017806,0.000146,0.043367,0.004096,0.012685,0.028017,0.012288,0.01225,0.03187,0.01088,0.012107,0.047048,0.010528,0.013056,-1,-1,-1
0.000301,0.017769,0.000165,0.044063,0.002592,0.012509,0.028304,0.012288,0.012135,0.031573,0.012,0.012066,0.042359,0.01088,0.012359,-1,-1,-1
0.000294,0.017662,0.000154,0.043995,0.003936,0.013002,0.030511,0.012832,0.012674,0.031199,0.011072,0.012385,0.043304,0.010336,0.012834,-1,-1,-1
