MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Rect Tiling 32*64 Loading,MMA CUDA Shared Half Rect Tiling 32*64 Computing,MMA CUDA Shared Half Rect Tiling 32*64 Outputing,MMA CUDA Shared Half Rect Tiling 32*96 Loading,MMA CUDA Shared Half Rect Tiling 32*96 Computing,MMA CUDA Shared Half Rect Tiling 32*96 Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Cublas Loading,MMA Cublas Computing,MMA Cublas Outputing,
0.000529,0.025532,0.000166,0.016578,0.010240,0.006150,0.030545,0.011008,0.013866,0.043195,0.003776,0.012948,0.447220,0.003040,0.013213,0.029463,0.008224,0.012872,0.043853,0.011328,0.013520,0.042916,0.003168,0.012998,0.037466,0.003008,0.013328,
0.000486,0.025652,0.000168,0.016446,0.009504,0.006504,0.031084,0.010592,0.013032,0.043474,0.004064,0.012734,0.045480,0.003936,0.012631,0.029651,0.008480,0.013322,0.045028,0.010240,0.013521,0.043825,0.003936,0.012721,0.036651,0.003328,0.012388,
0.000483,0.025492,0.000175,0.016086,0.008800,0.006132,0.030999,0.011520,0.013628,0.044858,0.003744,0.013053,0.043826,0.003520,0.013423,0.030771,0.008864,0.013067,0.044984,0.010368,0.013633,0.044466,0.003808,0.012890,0.036076,0.002016,0.012870,
0.000512,0.025513,0.000177,0.016229,0.010144,0.006637,0.030859,0.010240,0.012957,0.043551,0.003904,0.013482,0.042960,0.003552,0.013078,0.029780,0.009664,0.012762,0.044452,0.011584,0.013070,0.043909,0.002048,0.012631,0.035698,0.002464,0.012417,
0.000492,0.025557,0.000177,0.015961,0.009664,0.006332,0.030048,0.010240,0.013764,0.043637,0.002816,0.038558,0.043947,0.004064,0.013298,0.029709,0.009312,0.013088,0.045565,0.010240,0.013539,0.042690,0.003712,0.013315,0.036033,0.002400,0.012952,
0.000486,0.025478,0.000158,0.016130,0.008992,0.006093,0.030851,0.010240,0.012997,0.046442,0.003648,0.013231,0.044535,0.003008,0.012683,0.030496,0.008608,0.012818,0.043462,0.010240,0.013790,0.043046,0.003488,0.012701,0.036625,0.003328,0.012937,
0.000496,0.025554,0.000167,0.017005,0.009056,0.006155,0.030527,0.010432,0.013126,0.044088,0.002816,0.013175,0.526288,0.001888,0.007229,0.030615,0.008224,0.012856,0.044497,0.012192,0.013162,0.044119,0.004032,0.013101,0.036750,0.002656,0.012451,
0.000486,0.025443,0.000178,0.016952,0.008864,0.006104,0.029730,0.011424,0.013094,0.042385,0.003936,0.013180,0.025625,0.001888,0.006248,0.029783,0.008192,0.012878,0.045276,0.011264,0.012945,0.042800,0.003616,0.012734,0.035979,0.003008,0.043949,
0.000504,0.025631,0.000195,0.015956,0.010048,0.006109,0.029779,0.010240,0.013974,0.042670,0.004096,0.013130,0.019759,0.000896,0.010528,0.029682,0.008224,0.012923,0.043528,0.010592,0.013381,0.043583,0.004096,0.012590,0.037214,0.003072,0.013207,
0.000500,0.025547,0.000184,0.015927,0.009472,0.006139,0.029854,0.010560,0.014027,0.044974,0.003936,0.012691,0.022557,0.001920,0.006160,0.030127,0.008576,0.012985,0.043757,0.010240,0.013314,0.043224,0.003744,0.013059,0.036663,0.003552,0.012279,
