Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,256,256,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,0.343441,10.173816,0.203853,
MMA CUDA,47.207155,0.016254,0.217048,False,0.000000,0.000000,
MMA CUDA Shared,0.250804,0.005398,0.431573,False,0.000000,0.000000,
MMA Tensor,0.798274,0.004653,0.355822,False,0.060634,0.049874,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.049770,0.814718,0.016012,0.127346,0.001656,0.159380,0.123393,0.001709,0.155815,0.618918,0.001866,0.096594,
0.049689,0.817960,0.015741,0.130479,0.001700,0.162611,0.123007,0.001623,0.155684,0.631913,0.001961,0.096600,
0.049742,0.809642,0.015887,0.133209,0.003449,0.160479,0.123953,0.001638,0.155994,0.629914,0.001668,0.097034,
0.049733,1.159455,0.015820,0.139862,0.002079,0.169662,0.124619,0.001628,0.156486,0.624845,0.001609,0.096876,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.260641,0.952448,0.016508,0.314227,0.015196,0.249185,0.195461,0.004388,0.335012,0.701931,0.003612,0.092866,
0.185283,0.882777,0.015798,0.190857,0.004618,0.165624,0.186436,0.003376,0.321586,0.692003,0.003066,0.092390,
0.051167,0.819742,0.015758,0.184272,0.004316,0.166116,0.182660,0.004091,0.347428,0.729147,0.003239,0.091170,
0.050164,0.875946,0.015843,0.184123,0.004040,0.167242,0.182576,0.003108,0.159633,0.663682,0.003136,0.092012,
0.050267,0.819909,0.015779,0.184912,0.003929,0.165650,0.189305,0.004199,0.239505,0.659757,0.002957,0.091535,
0.050164,0.818663,0.015782,0.184116,0.004178,0.169100,0.192373,0.004007,0.243781,0.663904,0.003000,0.101465,
0.053012,0.817038,0.015938,0.184170,0.004435,0.164791,0.204065,0.003602,0.237694,0.721448,0.003445,0.091186,
0.050132,0.818196,0.015721,0.200936,0.004392,0.165963,0.182813,0.003406,0.158421,0.674004,0.004118,0.096824,
0.050110,0.817655,0.015794,0.184274,0.003956,0.164661,0.182569,0.003244,0.159027,0.676402,0.003485,0.091550,
0.050186,0.817563,0.015838,0.185367,0.003849,0.167812,0.183338,0.003340,0.158940,0.677305,0.003344,0.092059,
0.050190,0.820363,0.015774,0.183830,0.004180,0.165516,0.182269,0.003320,0.159309,0.686047,0.003030,0.093013,
0.050290,0.817852,0.015567,0.185274,0.003912,0.167552,0.183518,0.003568,0.157367,0.676825,0.003147,0.106145,
0.050091,0.817589,0.015767,0.189561,0.003805,0.166037,0.181643,0.003234,0.158462,0.669580,0.003217,0.094346,
0.050401,0.818520,0.015766,0.188048,0.004238,0.170732,0.183166,0.003158,0.158583,0.692744,0.003807,0.092313,
0.050075,0.818648,0.015900,0.187871,0.003853,0.169002,0.182670,0.003149,0.158493,0.694005,0.003088,0.224439,
0.050434,1.551736,0.015998,0.190232,0.004081,0.167799,0.182369,0.003106,0.157999,0.726221,0.003515,0.176939,
0.050584,0.852682,0.017116,0.186216,0.003971,0.164912,0.192917,0.003411,0.158997,0.712371,0.003990,0.091384,
0.052661,0.865824,0.015812,2.192337,0.006991,0.535593,0.181713,0.003179,0.158585,0.692333,0.003615,0.177485,
0.050698,2.631930,0.014443,0.211059,0.004667,0.275174,0.183658,0.003110,0.158105,0.690082,0.003346,0.172596,
0.060121,1.622425,0.015951,0.196452,0.075454,0.148129,0.182349,0.003265,0.157977,0.677366,0.003082,0.092471,
0.056167,0.730665,0.015829,0.188254,0.004527,0.171585,0.188514,0.003226,0.159401,0.693051,0.002994,0.093648,
0.050741,0.749330,0.016273,0.188533,0.003934,0.166951,0.182903,0.003308,0.158107,0.690215,0.002994,0.092099,
0.050642,0.756765,0.015908,0.186959,0.003994,0.270480,0.182161,0.003160,0.158661,0.668351,0.003248,0.091587,
0.050186,0.729800,0.015944,0.184516,0.003358,0.238312,0.181473,0.003084,0.157091,0.684585,0.003080,0.092438,
0.050222,0.774592,0.015749,0.181744,0.003314,0.235088,0.181755,0.003048,0.159231,0.679123,0.003019,0.111625,
0.050121,0.725826,0.015868,0.181915,0.003164,0.237714,0.188320,0.003997,0.158543,0.704191,0.003350,0.092461,
0.050185,0.722091,0.015714,0.192008,0.002963,0.248032,0.181389,0.003379,0.167543,0.665906,0.003435,0.091213,
0.050024,0.725878,0.015798,0.184622,0.003026,0.650914,0.191061,0.003311,0.158289,0.667997,0.003012,0.092116,
0.050294,0.719803,0.015674,0.181562,0.003283,0.237255,0.189140,0.003366,0.158519,0.675717,0.003289,0.091756,
0.050094,0.723760,0.015836,0.180174,0.009939,0.160983,0.181407,0.003144,0.158246,0.675531,0.002941,0.090945,
0.050132,0.724825,0.015761,0.180735,0.003087,0.160857,0.181688,0.003382,0.157790,0.681282,0.003239,0.100186,
0.050045,0.727709,0.015812,0.181107,0.003102,0.160332,0.179695,0.003323,0.158902,0.680765,0.003228,0.091358,
0.050113,0.723520,0.015924,0.192045,0.003112,0.159491,0.182059,0.003201,0.158320,0.682353,0.002977,0.093033,
0.050237,0.723602,0.015833,0.180326,0.003158,0.159593,0.181637,0.003182,0.159238,0.690993,0.003161,0.091707,
0.050100,0.763478,0.015745,0.180962,0.003040,0.160206,0.182583,0.003317,0.158476,0.691849,0.002987,0.312720,
0.049846,0.725052,0.015867,0.179962,0.003066,0.157781,0.183725,0.003126,0.157837,0.750838,0.005338,0.180294,
0.050200,1.830449,0.015896,0.179735,0.003031,0.160669,0.185940,0.003065,0.161142,0.737996,0.004895,0.172848,
0.050719,1.820657,0.011047,0.189912,0.002930,0.159164,0.188549,0.003267,0.159136,0.711994,0.003690,0.189484,
0.051071,7.857298,0.022207,0.204682,0.005916,0.165788,0.203417,0.003137,0.167875,0.683190,0.003210,0.091759,
0.073364,1.017713,0.019803,0.229654,0.005629,0.181000,0.187578,0.003272,0.177429,0.704188,0.003297,0.092357,
0.065948,0.861049,0.015821,0.181944,0.003450,0.161276,0.203505,0.003129,0.176185,0.675798,0.003202,0.092105,
0.050375,0.789281,0.015785,0.181733,0.003227,0.160752,0.209819,0.005234,0.323015,0.675503,0.003067,0.092190,
0.050269,0.793300,0.015874,0.184512,0.004563,0.170281,0.184859,0.003817,0.377863,0.681730,0.003030,0.091381,
0.050014,0.755730,0.015915,0.182164,0.003346,0.160141,0.183242,0.003279,0.169827,0.662325,0.003056,0.090949,
0.050553,6.713084,0.019593,0.182311,0.003030,0.161332,0.191058,0.004001,0.235803,0.729436,0.003467,0.091733,
0.071156,1.632874,0.016320,0.181818,0.003069,0.159085,0.211258,0.003596,0.323359,0.685659,0.003429,0.091482,
0.058430,0.793788,0.017132,0.190960,0.003034,0.163019,0.182273,0.003603,0.239706,0.663527,0.003203,0.091236,
0.054160,0.813434,0.015770,0.203924,0.003150,0.171924,0.186285,0.003245,0.159719,0.659353,0.002990,0.091754,
0.050173,0.737432,0.015781,0.203212,0.003095,0.165201,0.182199,0.003562,0.159360,0.658742,0.002904,0.090599,
0.052570,0.735295,0.015895,0.187333,0.003026,0.164136,0.182268,0.003083,0.158688,0.666616,0.003284,0.090973,
