Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,1024,1024,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,5.383566,56.207654,3.389350,
MMA CUDA,45.809490,0.029676,7.199026,False,0.000000,0.000000,
MMA CUDA Shared,2.307583,0.018722,8.183458,False,0.000000,0.000000,
MMA Tensor,11.274304,0.012254,4.248903,False,0.030919,0.023836,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
-1.000000,-1.000000,-1.000000,2.084805,0.013379,6.763289,1.749173,0.010617,3.156267,10.222026,0.012618,1.162547,
-1.000000,-1.000000,-1.000000,1.771796,0.013295,5.624253,1.899971,0.005180,3.496804,10.191789,0.008320,1.142427,
-1.000000,-1.000000,-1.000000,1.807415,0.006911,6.752679,1.639650,0.009384,3.151040,9.979650,0.008642,1.214652,
-1.000000,-1.000000,-1.000000,2.232394,0.017278,5.645193,1.651790,0.003820,3.159862,10.255627,0.007605,1.354365,
-1.000000,-1.000000,-1.000000,1.928241,0.008077,6.605055,1.607569,0.003589,3.170095,10.091262,0.010934,1.178758,
-1.000000,-1.000000,-1.000000,1.691423,0.014126,5.617343,1.823611,0.005674,3.971043,10.085290,0.011324,1.217225,
-1.000000,-1.000000,-1.000000,1.732961,0.007846,6.540877,1.594802,0.005369,3.147112,10.047196,0.007712,1.174273,
-1.000000,-1.000000,-1.000000,1.669024,0.010321,5.617547,1.595409,0.007502,3.234466,10.100401,0.007211,1.176161,
-1.000000,-1.000000,-1.000000,1.689064,0.005153,6.435038,1.943571,0.008345,3.527786,10.085476,0.006287,1.180154,
-1.000000,-1.000000,-1.000000,1.697668,0.010627,5.614144,1.617785,0.008298,3.154518,10.011138,0.009504,1.153181,
-1.000000,-1.000000,-1.000000,1.644631,0.004045,6.006029,1.638704,0.004963,3.152844,10.635512,0.011950,1.233118,
-1.000000,-1.000000,-1.000000,1.755528,0.011802,5.622866,1.945098,0.004662,3.524514,10.107774,0.008040,1.176055,
-1.000000,-1.000000,-1.000000,1.599996,0.008102,5.683773,1.672210,0.010359,3.154105,10.000629,0.008870,1.156405,
-1.000000,-1.000000,-1.000000,1.797911,0.006979,6.766124,1.613220,0.005801,3.144630,10.086229,0.006268,1.163613,
-1.000000,-1.000000,-1.000000,1.622949,0.012045,5.686724,1.634845,0.007463,3.152190,9.915420,0.008811,1.257982,
-1.000000,-1.000000,-1.000000,1.941480,0.006258,6.776492,1.616834,0.004647,3.909383,10.533018,0.009270,1.149688,
-1.000000,-1.000000,-1.000000,1.809262,0.011930,5.708132,1.677129,0.008752,3.142097,10.363412,0.013070,1.145310,
-1.000000,-1.000000,-1.000000,1.825942,0.011894,7.057572,1.628883,0.003755,3.232257,10.462223,0.007169,1.191526,
-1.000000,-1.000000,-1.000000,1.642579,0.004908,5.621627,1.718507,0.008526,3.498118,10.083465,0.008567,1.152386,
-1.000000,-1.000000,-1.000000,1.885530,0.008009,6.919794,1.792963,0.007113,3.586101,10.685632,0.013286,1.241735,
-1.000000,-1.000000,-1.000000,1.621638,0.008880,5.609061,1.647839,0.007447,3.172892,10.384651,0.007278,1.194726,
-1.000000,-1.000000,-1.000000,1.707984,0.004198,6.530471,2.013705,0.008736,3.519923,10.116148,0.004992,1.181316,
-1.000000,-1.000000,-1.000000,1.671907,0.008292,4.512412,1.764727,0.004755,3.366564,10.014109,0.006488,1.146587,
-1.000000,-1.000000,-1.000000,1.661123,0.004029,3.778700,1.666697,0.007981,3.188808,9.963077,0.005503,1.149114,
-1.000000,-1.000000,-1.000000,2.068867,0.007508,4.383488,1.760305,0.004741,3.151913,9.934881,0.005992,1.177125,
-1.000000,-1.000000,-1.000000,2.011888,0.007580,3.573857,1.744734,0.006624,3.618153,10.791236,0.010444,1.188726,
-1.000000,-1.000000,-1.000000,1.831166,0.007805,4.049325,1.617425,0.006320,3.161325,10.329030,0.009424,1.239354,
-1.000000,-1.000000,-1.000000,2.158732,0.008850,3.584612,1.683058,0.008593,3.238715,10.364785,0.009272,1.225975,
-1.000000,-1.000000,-1.000000,1.933928,0.007532,3.526223,1.676256,0.011803,3.837433,10.143675,0.007119,1.148356,
-1.000000,-1.000000,-1.000000,1.787841,0.007586,3.940115,1.955695,0.008134,3.176903,10.071486,0.009561,1.191872,
-1.000000,-1.000000,-1.000000,1.834170,0.009011,3.721825,1.795694,0.006705,3.307622,10.382101,0.010925,1.167033,
-1.000000,-1.000000,-1.000000,1.722618,0.010238,3.437364,2.093133,0.008698,3.630101,10.048108,0.004718,1.210224,
-1.000000,-1.000000,-1.000000,1.715215,0.006718,3.783073,2.056504,0.009190,3.244255,10.062176,0.009741,1.144128,
-1.000000,-1.000000,-1.000000,1.751138,0.007088,3.423856,2.102172,0.013342,3.227344,10.071961,0.011209,1.213608,
-1.000000,-1.000000,-1.000000,1.615365,0.005364,3.414411,2.115264,0.013269,3.584411,10.031974,0.008162,1.186838,
-1.000000,-1.000000,-1.000000,1.637036,0.005628,3.459744,1.772079,0.008418,3.141489,10.123173,0.007696,1.154807,
-1.000000,-1.000000,-1.000000,1.952512,0.007833,4.134113,1.671482,0.007195,3.137331,10.227270,0.009679,1.161684,
-1.000000,-1.000000,-1.000000,1.602670,0.007851,3.420739,1.775833,0.005714,3.527277,10.154012,0.009597,1.161328,
-1.000000,-1.000000,-1.000000,1.638060,0.005279,3.462657,1.848186,0.006643,3.615014,10.974734,0.028799,1.172455,
-1.000000,-1.000000,-1.000000,1.674714,0.008690,3.793898,1.746644,0.007056,3.747544,10.361925,0.027046,1.198618,
-1.000000,-1.000000,-1.000000,1.632874,0.004767,3.438633,1.828326,0.006013,3.444946,10.132760,0.005722,1.248512,
-1.000000,-1.000000,-1.000000,1.739888,0.004161,3.544187,1.604676,0.007863,3.605263,10.189996,0.008351,1.192513,
-1.000000,-1.000000,-1.000000,1.785533,0.010965,3.802726,1.734471,0.004971,3.148789,10.341762,0.012492,1.387900,
-1.000000,-1.000000,-1.000000,1.605836,0.005836,3.423245,1.642555,0.006641,3.184369,10.500568,0.012312,1.224279,
-1.000000,-1.000000,-1.000000,1.690770,0.005546,3.447548,1.719091,0.010015,3.584920,10.116225,0.011065,1.210284,
-1.000000,-1.000000,-1.000000,1.897648,0.005488,3.928509,1.598007,0.005418,3.139497,10.155163,0.010703,1.219898,
-1.000000,-1.000000,-1.000000,1.607270,0.004099,3.432348,1.624512,0.005806,3.209852,10.299901,0.012620,1.158878,
-1.000000,-1.000000,-1.000000,1.734146,0.005034,3.433093,1.892815,0.007067,3.620125,10.107371,0.010071,1.330182,
-1.000000,-1.000000,-1.000000,1.761649,0.004563,3.807056,1.718494,0.008646,3.146169,10.085047,0.010257,1.140130,
-1.000000,-1.000000,-1.000000,1.644187,0.007996,3.720881,1.601042,0.006632,3.149727,10.226456,0.008161,1.203971,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
-1.000000,-1.000000,-1.000000,2.008728,0.009419,3.406110,1.901916,0.015210,3.141346,10.028234,0.012663,1.178011,
-1.000000,-1.000000,-1.000000,1.701449,0.008346,3.393256,1.685701,0.008062,3.589214,10.184731,0.015619,1.154609,
-1.000000,-1.000000,-1.000000,2.032317,0.007601,3.683698,1.816456,0.009337,3.177831,10.001666,0.009739,1.184470,
-1.000000,-1.000000,-1.000000,1.714681,0.012291,3.393943,1.794697,0.009242,3.139616,10.064025,0.010005,1.158234,
-1.000000,-1.000000,-1.000000,1.674858,0.007279,3.397918,1.777935,0.005363,3.686482,10.014757,0.012136,1.190164,
-1.000000,-1.000000,-1.000000,2.064494,0.013588,3.776171,1.998905,0.023118,3.178853,9.968871,0.010871,1.241820,
-1.000000,-1.000000,-1.000000,1.701229,0.011177,3.405106,1.748668,0.014196,3.133769,9.969664,0.012927,1.141378,
-1.000000,-1.000000,-1.000000,1.659154,0.005354,3.411771,1.690279,0.007608,3.632722,10.257591,0.013074,1.403937,
-1.000000,-1.000000,-1.000000,2.137162,0.008226,3.823302,1.836286,0.008810,3.162263,11.147167,0.026064,1.190122,
-1.000000,-1.000000,-1.000000,1.658078,0.007074,3.415083,1.721606,0.005515,3.155060,10.009764,0.006885,1.150158,
-1.000000,-1.000000,-1.000000,1.666486,0.009618,3.683902,1.832072,0.009513,3.628318,10.266586,0.014252,1.151804,
-1.000000,-1.000000,-1.000000,1.900059,0.015311,3.747786,2.129098,0.014308,3.497771,10.032231,0.010693,1.141699,
-1.000000,-1.000000,-1.000000,1.697410,0.006031,3.419340,1.679497,0.008434,3.146870,9.993699,0.010755,1.141332,
-1.000000,-1.000000,-1.000000,1.944187,0.010907,3.872411,1.656355,0.008353,3.684591,9.992412,0.011058,1.180547,
-1.000000,-1.000000,-1.000000,1.769229,0.013102,3.909898,1.726685,0.009915,3.169301,10.031392,0.012773,1.138733,
-1.000000,-1.000000,-1.000000,1.645913,0.007887,3.405500,1.740724,0.008358,3.156372,9.965650,0.009471,1.272299,
-1.000000,-1.000000,-1.000000,1.674800,0.007142,3.876245,1.643892,0.004949,3.721996,9.976940,0.013266,1.141837,
-1.000000,-1.000000,-1.000000,1.658823,0.011729,3.862378,2.023682,0.011646,3.152149,10.107784,0.013090,1.158544,
-1.000000,-1.000000,-1.000000,1.636388,0.006702,3.411233,1.804649,0.006396,3.144813,10.386710,0.018103,1.176044,
-1.000000,-1.000000,-1.000000,1.672898,0.006681,3.849382,1.676203,0.007682,3.246137,10.086460,0.009028,1.149195,
-1.000000,-1.000000,-1.000000,1.761933,0.011652,3.798421,1.870814,0.008862,3.493137,10.245103,0.009794,1.192865,
-1.000000,-1.000000,-1.000000,1.661579,0.009538,3.423463,1.781426,0.010311,3.144881,10.098911,0.009696,1.153400,
-1.000000,-1.000000,-1.000000,1.665869,0.004721,3.868158,1.649135,0.007863,3.258053,10.130858,0.008250,1.188445,
-1.000000,-1.000000,-1.000000,1.711548,0.009957,3.753101,1.902084,0.011717,3.485761,10.138045,0.013483,1.143658,
-1.000000,-1.000000,-1.000000,1.638232,0.008117,3.415766,1.697989,0.013037,3.144973,10.137376,0.010848,1.185699,
-1.000000,-1.000000,-1.000000,1.859810,0.005366,3.863869,1.652201,0.006178,3.146834,10.042696,0.007938,1.221051,
-1.000000,-1.000000,-1.000000,1.738876,0.009568,3.466173,1.947749,0.010581,3.468246,10.267217,0.012626,1.177545,
-1.000000,-1.000000,-1.000000,1.646654,0.005887,3.400350,1.768227,0.007267,3.142908,10.146538,0.011298,1.198992,
-1.000000,-1.000000,-1.000000,1.965088,0.008674,3.779632,1.683299,0.004782,3.240437,10.396347,0.013222,1.191101,
-1.000000,-1.000000,-1.000000,1.870330,0.012490,3.397931,1.853366,0.008612,3.469963,10.025274,0.009622,1.140577,
-1.000000,-1.000000,-1.000000,1.673927,0.008967,3.856955,1.750945,0.006915,3.357836,10.212115,0.010141,1.190898,
-1.000000,-1.000000,-1.000000,2.127197,0.018908,3.795317,1.676801,0.008168,3.200750,10.117962,0.012179,1.178343,
-1.000000,-1.000000,-1.000000,1.729267,0.009619,3.432260,1.738948,0.011330,3.454554,9.975779,0.007838,1.157011,
-1.000000,-1.000000,-1.000000,1.661586,0.008796,3.565095,1.766854,0.007907,3.474079,10.119650,0.008935,1.145397,
-1.000000,-1.000000,-1.000000,1.993542,0.010524,3.846346,1.667372,0.006690,3.499228,10.013946,0.009147,1.152390,
-1.000000,-1.000000,-1.000000,1.782951,0.009989,3.409597,1.953682,0.013631,3.476713,9.995131,0.010967,1.276836,
-1.000000,-1.000000,-1.000000,1.664340,0.012088,3.449154,1.815416,0.007850,3.481988,10.087921,0.014271,1.160061,
-1.000000,-1.000000,-1.000000,1.857604,0.009890,3.856195,1.676993,0.006560,3.147569,10.577672,0.013117,1.193159,
-1.000000,-1.000000,-1.000000,2.286697,0.021052,3.991749,1.931902,0.013038,3.462666,10.382407,0.009882,1.198050,
-1.000000,-1.000000,-1.000000,1.655518,0.007260,3.406203,1.760544,0.006317,3.483990,10.169959,0.007311,1.159389,
-1.000000,-1.000000,-1.000000,1.712727,0.007190,3.456602,1.653894,0.009343,3.147298,10.596907,0.010964,1.176919,
-1.000000,-1.000000,-1.000000,1.661962,0.006547,3.417101,1.815549,0.010110,3.445121,10.077453,0.009222,1.153672,
-1.000000,-1.000000,-1.000000,1.621762,0.006633,3.417682,1.699484,0.008291,3.490893,10.432087,0.013830,1.140592,
-1.000000,-1.000000,-1.000000,1.593966,0.004832,3.416963,1.643509,0.008618,3.142853,10.241294,0.009289,1.148434,
-1.000000,-1.000000,-1.000000,1.593945,0.005516,3.422560,1.865099,0.008870,3.401900,10.367747,0.012032,1.146358,
-1.000000,-1.000000,-1.000000,1.561031,0.005286,3.420083,1.659011,0.008816,3.632835,10.355327,0.010599,1.203096,
-1.000000,-1.000000,-1.000000,1.563329,0.006183,3.429036,1.645595,0.008967,3.144790,10.171731,0.009023,1.153748,
-1.000000,-1.000000,-1.000000,1.564246,0.005348,3.428170,1.833566,0.007943,3.441217,10.253838,0.010399,1.187197,
-1.000000,-1.000000,-1.000000,1.564701,0.004344,3.424744,1.671647,0.008217,3.518709,10.137739,0.009491,1.179369,
-1.000000,-1.000000,-1.000000,1.570910,0.007705,4.333294,1.632013,0.007864,3.149024,10.549566,0.011712,1.148812,
