Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,32,32,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,0.004119,3.063215,0.000520,
MMA CUDA,46.865418,0.014236,0.017622,True,0,0,
MMA CUDA Shared,0.084268,0.004617,0.010595,False,0.475671,0.080881,
MMA Tensor,0.086685,0.000712,0.009522,False,1.000000,0.000000,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.000280,0.017866,0.000146,0.020152,0.001747,0.015910,0.017867,0.001865,0.015986,0.021214,0.000259,0.007265,
0.000360,0.017719,0.000156,0.020564,0.001887,0.015796,0.017750,0.001687,0.015313,0.021102,0.000253,0.006967,
0.000313,0.017676,0.000150,0.020495,0.001752,0.016748,0.017827,0.001707,0.015246,0.021111,0.000299,0.007062,
0.000296,0.074925,0.000252,0.020673,0.001689,0.015849,0.018338,0.001719,0.015676,0.021427,0.000256,0.007392,

Multi run computation test (with deallocation), execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.007339,0.297108,0.000209,0.184154,0.004201,0.016060,0.071748,0.003442,0.009717,0.074320,0.000556,0.008952,
0.003457,0.018141,0.000165,0.075049,0.003669,0.015077,0.072539,0.003156,0.017571,0.069406,0.000389,0.008612,
0.003058,0.018295,0.000171,0.074456,0.003279,0.015743,0.071786,0.003084,0.010126,0.066344,0.000388,0.008895,
0.002917,0.018310,0.000160,0.072494,0.003292,0.015478,0.072189,0.003139,0.010689,0.066051,0.000391,0.008606,
0.000825,0.017933,0.000155,0.071594,0.003190,0.015379,0.072271,0.003163,0.010599,0.064865,0.000395,0.009038,
0.000785,0.017966,0.000201,0.072182,0.003148,0.016002,0.076116,0.003202,0.009855,0.065957,0.000399,0.008359,
0.000785,0.018126,0.000153,0.072854,0.003132,0.015324,0.071690,0.003217,0.010065,0.065076,0.000377,0.009165,
0.000787,0.017707,0.000174,0.072090,0.003153,0.014719,0.072607,0.003260,0.009938,0.065608,0.000369,0.008362,
0.000771,0.017792,0.000179,0.072228,0.003390,0.015636,0.073442,0.003248,0.009897,0.064536,0.000393,0.009191,
0.000764,0.017955,0.000144,0.072068,0.003191,0.015011,0.071822,0.003188,0.010018,0.065654,0.000370,0.008373,
0.000769,0.017852,0.000155,0.072460,0.003107,0.014894,0.072022,0.003120,0.009980,0.065022,0.000405,0.009158,
0.000765,0.018006,0.000181,0.071987,0.003343,0.016141,0.071597,0.003110,0.010521,0.164936,0.001055,0.009739,
0.000777,0.017829,0.000187,0.071494,0.003320,0.015241,0.071778,0.003119,0.010503,0.098206,0.000685,0.010333,
0.000763,0.017618,0.000163,0.072088,0.003038,0.015177,0.071646,0.003227,0.010539,0.088353,0.000561,0.010170,
0.000779,0.017823,0.000144,0.071691,0.003149,0.015011,0.071696,0.003144,0.010337,0.084173,0.000558,0.009532,
0.000839,0.017781,0.000144,0.071839,0.003184,0.015313,0.072063,0.003276,0.010318,0.081875,0.000576,0.010502,
0.000790,0.017686,0.000171,0.072347,0.003363,0.016172,0.072465,0.003150,0.010274,0.064710,0.000394,0.008270,
0.000816,0.017781,0.000236,0.072144,0.003143,0.015322,0.071653,0.003248,0.009908,0.064561,0.000390,0.009154,
0.000763,0.017918,0.000147,0.071646,0.003127,0.015964,0.072239,0.003211,0.010021,0.065178,0.000398,0.008812,
0.000786,0.017883,0.000160,0.071721,0.003026,0.015781,0.071792,0.003205,0.010098,0.064676,0.000383,0.008839,
0.000775,0.017926,0.000137,0.072172,0.003304,0.015581,0.071497,0.003181,0.009944,0.064514,0.000396,0.009347,
0.000800,0.017867,0.000149,0.071921,0.003163,0.015406,0.071815,0.003298,0.009830,0.065209,0.000407,0.008338,
0.000782,0.018023,0.000182,0.071860,0.003198,0.015036,0.072319,0.003134,0.010470,0.064815,0.000387,0.008808,
