Performing comparisons between CPU Cuda and Tensor implementation,

Matrixes size,128,128,
Single run computation test,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),
MMA CPU,0.082467,4.791947,0.063505,
MMA CUDA,46.896686,0.014430,0.042265,False,0.000000,0.000000,
MMA CUDA Shared,0.130265,0.004744,0.039112,False,0.000000,0.000000,
MMA Tensor,0.311518,0.005136,0.082525,False,0.074768,0.067125,

Multi run computation  test, execution count :50,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,
0.085724,0.167558,0.006081,0.315521,0.004126,0.046982,0.103827,0.003583,0.035709,0.248001,0.003477,0.036822,
0.014121,0.165636,0.004955,0.057073,0.002424,0.045862,0.043344,0.002254,0.035238,0.180376,0.002395,0.036234,
0.013935,0.165178,0.004957,0.055754,0.002197,0.044859,0.044450,0.002167,0.035181,0.316986,0.002706,0.035981,
0.013923,0.151357,0.004312,0.057076,0.002154,0.044137,0.044724,0.002073,0.035659,0.298156,0.004725,0.035272,
0.012111,0.128800,0.004317,0.057079,0.002235,0.045248,0.045610,0.002037,0.035539,0.342535,0.003637,0.036585,
0.012046,0.128701,0.004397,0.055620,0.002157,0.044725,0.043445,0.002036,0.034966,0.169102,0.001691,0.036330,
0.012067,0.128777,0.004340,0.057309,0.002107,0.044891,0.043453,0.002118,0.036125,0.172467,0.002191,0.034748,
0.012032,0.142686,0.004353,0.058619,0.002104,0.044963,0.044037,0.002042,0.034751,0.167557,0.001639,0.035407,
0.012026,0.158700,0.004310,0.058421,0.002125,0.044278,0.042926,0.002343,0.035102,0.165991,0.001560,0.035279,
0.012097,0.654748,0.003767,0.060716,0.002090,0.045006,0.049219,0.002212,0.034783,0.165804,0.001542,0.035253,
0.011894,0.106920,0.003692,0.057905,0.002098,0.043814,0.043250,0.002125,0.035512,0.165630,0.001500,0.035630,
0.011899,0.107260,0.003687,0.054011,0.002129,0.044213,0.042366,0.002125,0.035254,0.166049,0.001537,0.036131,
0.011872,0.106753,0.003747,0.046182,0.002137,0.044787,0.042939,0.002055,0.034064,0.166989,0.001641,0.035471,
0.011873,0.106630,0.003775,0.045013,0.002108,0.044334,0.043121,0.001985,0.035552,0.171652,0.001628,0.035210,
0.011862,0.126662,0.003971,0.044725,0.002079,0.044586,0.043664,0.002123,0.035093,0.168265,0.001541,0.036007,
0.012386,0.114598,0.003936,0.045904,0.002064,0.044537,0.044080,0.002022,0.034997,0.165729,0.001555,0.035259,
0.012376,0.114678,0.003961,0.044567,0.002113,0.045113,0.043978,0.002042,0.034980,0.164452,0.001513,0.036382,
0.012353,0.114986,0.004059,0.045009,0.002074,0.044821,0.044043,0.002097,0.035586,0.162799,0.001515,0.035317,
0.012419,0.114241,0.004020,0.044310,0.002093,0.044843,0.044535,0.002064,0.035655,0.165566,0.001572,0.035748,
0.012359,0.116518,0.004076,0.044142,0.002041,0.045199,0.046716,0.002020,0.035385,0.158452,0.001536,0.035375,
0.012376,0.114826,0.004035,0.044284,0.002089,0.045358,0.044297,0.002177,0.035368,0.158481,0.001465,0.035476,
0.012396,0.124578,0.003731,0.043820,0.002043,0.044474,0.043576,0.002060,0.034554,0.155180,0.001487,0.034997,
0.011867,0.106726,0.003775,0.049469,0.002110,0.045524,0.042717,0.002064,0.035244,0.153540,0.001458,0.034997,
0.011857,0.106397,0.003745,0.044237,0.002120,0.044965,0.045237,0.002091,0.037257,0.154166,0.001429,0.035312,
0.011847,0.107445,0.003731,0.044923,0.002119,0.044341,0.043457,0.002107,0.034913,0.152678,0.001440,0.035236,
0.011866,0.106425,0.003701,0.044742,0.002098,0.044791,0.043966,0.002114,0.034872,0.152835,0.001508,0.034681,
0.011885,0.107383,0.003774,0.045401,0.002090,0.045566,0.043677,0.002065,0.035259,0.173716,0.001584,0.035063,
0.011901,0.159355,0.003803,0.047200,0.002091,0.044479,0.043244,0.002031,0.034748,0.152829,0.001508,0.034426,
